EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
000004101,SOUTH LAFOURCHE QUARTERBACK CLUB,,167 BENT CYPRESS LN,LOCKPORT,LA,70374-4284,0000,03,3,1000,202005,1,04,000000000,1,01,,0,0,00,1,12,,,,N65,
010550123,LOUISIANA OUTSIDE COUNSEL HEALTH AND ETHICS FOUNDATION,% DREW RANIER,1419 RYAN ST,LAKE CHARLES,LA,70601-5918,0000,03,3,1000,200207,1,04,000000000,1,01,201812,1,5,00,1,12,1,750000,,T90,
010554139,BATON ROUGE CAPITAL CONFLICT OFFICE INC,% DAVID PRICE,525 FLORIDA ST STE 310,BATON ROUGE,LA,70801-1732,0000,03,3,1000,200205,1,15,000000000,1,01,201812,5,6,01,0,12,570965,1189331,1189331,I80,
010557958,LEMMIE AND MABLE ANDREWS CHARITABLE FOUNDATION,% ARTHUR E FAULK,6811 JEFFERSON HWY,BATON ROUGE,LA,70806-8108,0000,03,3,1000,200311,1,04,000000000,1,01,201906,1,1,00,1,06,9435,1100,,T50,
010558440,FRIENDS OF ARTS COUNCIL OF GREATER DENHAM SPRINGS INC,% PART HAUSSLER,12046 JUSTICE AVE STE B,BATON ROUGE,LA,70816-5305,0000,03,3,1000,200304,1,15,000000000,1,01,201812,3,4,01,0,12,49483,241358,121864,A26,GREATER DENHAM SPRINGS INC ART CNCL
010558682,DOC-DHL INC,,345 GRANDPRE ST,BATON ROUGE,LA,70802-5919,0000,03,3,1000,200501,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,P33,JACKSON CARL J
010558998,INTERFAITH COUNCIL ON NEEDS ST LANDRY INC,% DANA REED,186 CYPRESS DR,OPELOUSAS,LA,70570-8118,0000,03,3,1000,200203,1,15,000000000,1,01,201912,3,3,01,0,12,27344,65002,64972,P60,
010560277,LABORERS ABOUT THE MASTERS BUSINESS MINISTRIES INTERNATIONAL,,5127 LAUREL ST,NEW ORLEANS,LA,70115-1837,0000,03,3,1000,200712,1,15,000000000,1,01,201912,2,4,01,0,12,24953,115219,115219,,MCENERY HENRY A III
010561988,ASSESS THE NEED,% TROY D JONES CPA,PO BOX 307,LIVINGSTON,LA,70754-0307,0000,03,3,1000,200302,1,15,000000000,1,01,201912,3,2,02,0,12,73473,24535,24535,B99,
010578178,OAKS MIDDLE SCHOOL,% TERI BICKHAM,43283 S RANGE RD,HAMMOND,LA,70403-6374,0000,03,3,2000,200207,1,11,000000000,1,01,202006,0,0,02,0,06,0,0,0,B25,
010587847,TOTAL ARMOUR OF GOD,% JAMES K MILLSAPS,PO BOX 2061,HARVEY,LA,70059-2061,0000,03,3,7000,200304,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010593546,TIOGA HISTORICAL SOCIETY,% JIMMIE NELLE LEWIS PRESIDENT,PO BOX 151,TIOGA,LA,71477-0151,0000,03,3,2000,200208,1,15,000000000,1,01,201712,0,0,02,0,12,0,0,0,A80,
010594976,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,% NATHANIEL THIERRY,1645 DUPRE RD,OPELOUSAS,LA,70570-1024,1531,04,9,1300,196111,2,00,430059480,5,01,,0,0,01,0,12,,,,Z99Z,6088 ST LANDRY BRANCH NAACP
010605461,LOUISIANA GASTROENTEROLOGY SOCIETY INC,,9103 JEFFERSON HWY,BATON ROUGE,LA,70809-2440,0000,06,3,2000,200209,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,E03,
010606523,NEW DAY DELIVERANCE HOLINESS CHURCH OF ALEXANDER INC,% JEANNIE WILLIAMS,PO BOX 54,ALEXANDRIA,LA,71309-0054,0000,03,3,7000,201103,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
