,ZIP,STATE,MSA No.,MSA NAME
1,ZIP CODE,STATE,MSA No.,MSA Name
2,00210,NH,14460,"Boston-Cambridge-Quincy, MA-NH MSA"
3,00211,NH,14460,"Boston-Cambridge-Quincy, MA-NH MSA"
4,00212,NH,14460,"Boston-Cambridge-Quincy, MA-NH MSA"
5,00213,NH,14460,"Boston-Cambridge-Quincy, MA-NH MSA"
6,00214,NH,14460,"Boston-Cambridge-Quincy, MA-NH MSA"
7,00215,NH,14460,"Boston-Cambridge-Quincy, MA-NH MSA"
8,00501,NY,35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA MSA"
9,00544,NY,35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA MSA"
10,00601,PR,99072,PR NONMETROPOLITAN AREA
11,00602,PR,10380,"Aguadilla-Isabela-San Sebastian, PR MSA"
12,00603,PR,10380,"Aguadilla-Isabela-San Sebastian, PR MSA"
13,00604,PR,10380,"Aguadilla-Isabela-San Sebastian, PR MSA"
14,00605,PR,10380,"Aguadilla-Isabela-San Sebastian, PR MSA"
15,00606,PR,99072,PR NONMETROPOLITAN AREA
16,00610,PR,10380,"Aguadilla-Isabela-San Sebastian, PR MSA"
17,00611,PR,99072,PR NONMETROPOLITAN AREA
18,00612,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
19,00613,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
20,00614,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
21,00616,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
22,00617,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
23,00622,PR,41900,"San German-Cabo Rojo, PR MSA"
24,00623,PR,41900,"San German-Cabo Rojo, PR MSA"
25,00624,PR,49500,"Yauco, PR MSA"
26,00627,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
27,00631,PR,10380,"Aguadilla-Isabela-San Sebastian, PR MSA"
28,00636,PR,41900,"San German-Cabo Rojo, PR MSA"
29,00637,PR,41900,"San German-Cabo Rojo, PR MSA"
30,00638,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
31,00641,PR,99072,PR NONMETROPOLITAN AREA
32,00646,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
33,00647,PR,49500,"Yauco, PR MSA"
34,00650,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
35,00652,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
36,00653,PR,49500,"Yauco, PR MSA"
37,00656,PR,49500,"Yauco, PR MSA"
38,00659,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
39,00660,PR,32420,"Mayaguez, PR MSA"
40,00662,PR,10380,"Aguadilla-Isabela-San Sebastian, PR MSA"
41,00664,PR,99072,PR NONMETROPOLITAN AREA
42,00667,PR,41900,"San German-Cabo Rojo, PR MSA"
43,00669,PR,10380,"Aguadilla-Isabela-San Sebastian, PR MSA"
44,00670,PR,99072,PR NONMETROPOLITAN AREA
45,00674,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
46,00676,PR,10380,"Aguadilla-Isabela-San Sebastian, PR MSA"
47,00677,PR,10380,"Aguadilla-Isabela-San Sebastian, PR MSA"
48,00678,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
51,ZIP CODE,STATE,MSA No.,MSA Name
52,00680,PR,32420,"Mayaguez, PR MSA"
53,00681,PR,32420,"Mayaguez, PR MSA"
54,00682,PR,32420,"Mayaguez, PR MSA"
55,00683,PR,41900,"San German-Cabo Rojo, PR MSA"
56,00685,PR,10380,"Aguadilla-Isabela-San Sebastian, PR MSA"
57,00687,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
58,00688,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
59,00690,PR,10380,"Aguadilla-Isabela-San Sebastian, PR MSA"
60,00692,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
61,00693,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
62,00694,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
63,00698,PR,49500,"Yauco, PR MSA"
64,00703,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
65,00704,PR,25020,"Guayama, PR MSA"
66,00705,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
67,00707,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
68,00714,PR,25020,"Guayama, PR MSA"
69,00715,PR,38660,"Ponce, PR MSA"
70,00716,PR,38660,"Ponce, PR MSA"
71,00717,PR,38660,"Ponce, PR MSA"
72,00718,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
73,00719,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
74,00720,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
75,00721,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
76,00723,PR,25020,"Guayama, PR MSA"
77,00725,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
78,00726,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
79,00727,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
80,00728,PR,38660,"Ponce, PR MSA"
81,00729,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
82,00730,PR,38660,"Ponce, PR MSA"
83,00731,PR,38660,"Ponce, PR MSA"
84,00732,PR,38660,"Ponce, PR MSA"
85,00733,PR,38660,"Ponce, PR MSA"
86,00734,PR,38660,"Ponce, PR MSA"
87,00735,PR,21940,"Fajardo, PR MSA"
88,00736,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
89,00737,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
90,00738,PR,21940,"Fajardo, PR MSA"
91,00739,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
92,00740,PR,21940,"Fajardo, PR MSA"
93,00741,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
94,00742,PR,21940,"Fajardo, PR MSA"
95,00744,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
96,00745,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
97,00751,PR,99072,PR NONMETROPOLITAN AREA
98,00754,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
99,00757,PR,99072,PR NONMETROPOLITAN AREA
100,00765,PR,99072,PR NONMETROPOLITAN AREA
101,00766,PR,38660,"Ponce, PR MSA"
102,00767,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
103,00769,PR,99072,PR NONMETROPOLITAN AREA
104,00771,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
105,00772,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
106,00773,PR,21940,"Fajardo, PR MSA"
109,ZIP CODE,STATE,MSA No.,MSA Name
110,00775,PR,99072,PR NONMETROPOLITAN AREA
111,00777,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
112,00778,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
113,00780,PR,38660,"Ponce, PR MSA"
114,00782,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
115,00783,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
116,00784,PR,25020,"Guayama, PR MSA"
117,00785,PR,49500,"Yauco, PR MSA"
118,00786,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
119,00791,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
120,00792,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
121,00794,PR,41980,"San Juan-Caguas-Guaynabo, PR MSA"
122,00795,PR,38660,"Ponce, PR MSA"
123,00801,VI,99078,VI NONMETROPOLITAN AREA
124,00802,VI,99078,VI NONMETROPOLITAN AREA
125,00803,VI,99078,VI NONMETROPOLITAN AREA
126,00804,VI,99078,VI NONMETROPOLITAN AREA
127,00805,VI,99078,VI NONMETROPOLITAN AREA
128,00820,VI,99078,VI NONMETROPOLITAN AREA
129,00821,VI,99078,VI NONMETROPOLITAN AREA
130,00822,VI,99078,VI NONMETROPOLITAN AREA
131,00823,VI,99078,VI NONMETROPOLITAN AREA
